PolicyNo,ClaimNumber,Premium,InsuredLocation,Loss Ratio,Nearest Firestation miles,Number of Firefighters,Fireplace,Year Built
,,,,0.8,14,9,no,1999
,,,,1.1,6,9,no,1988
,,,,0.6,8,9,yes,2000
,,,,0.9,10,9,yes,1963
,,,,1,7,5,no,1999
,,,,0.7,6,5,no,1983
,,,,1,13,5,yes,1996
,,,,0.6,7,6,yes,1982
,,,,0.4,3,8,no,2016
,,,,0.5,2,8,no,1975
,,,,0.4,1,8,yes,2016
,,,,0.5,2,7,yes,1981
,,,,0.3,1,6,no,2006
,,,,0.1,3,4,no,1961
,,,,0.2,3,4,yes,2014
,,,,0.4,3,6,yes,1971
,,,,0.7,17,8,no,2015
,,,,0.8,13,9,no,1989
,,,,0.8,8,9,yes,2002
,,,,1.1,16,10,yes,1993
,,,,1,15,6,no,2016
,,,,0.6,11,5,no,1994
,,,,1.1,9,6,yes,2010
,,,,0.7,19,5,yes,1983
,,,,0.5,1,9,no,2007
,,,,0.1,1,8,no,1987
,,,,0.5,1,8,yes,2004
,,,,0.4,2,10,yes,1970
,,,,0.1,3,6,no,2009
,,,,0.3,1,6,no,1983
,,,,0.2,1,6,yes,2015
,,,,0.3,1,6,yes,1980
,,,,0.8,18,10,no,2001
,,,,1,20,7,no,1966
,,,,1,12,7,yes,2007
,,,,0.7,20,10,yes,1992
,,,,0.6,12,6,no,2010
,,,,0.9,17,5,no,1977
,,,,0.8,9,5,yes,2007
,,,,0.7,7,6,yes,1981
,,,,0.3,1,9,no,2011
,,,,0.1,1,7,no,1989
,,,,0.3,3,10,yes,1997
,,,,0.3,2,9,yes,1964
,,,,0.4,4,5,no,2018
,,,,0.1,4,5,no,1965
,,,,0.3,3,4,yes,2016
,,,,0.2,2,4,yes,1982
,,,,1.1,8,8,no,2015
,,,,0.8,20,7,no,1975
,,,,1,14,7,yes,2000
,,,,0.6,15,10,yes,1973
,,,,0.6,18,5,no,2015
,,,,0.8,8,4,no,1991
,,,,0.6,9,4,yes,2002
,,,,0.9,8,4,yes,1983
,,,,0.4,3,9,no,2020
,,,,0.5,4,8,no,1984
,,,,0.1,2,7,yes,2018
,,,,0.4,3,8,yes,1969
,,,,0.2,3,4,no,2000
,,,,0.3,4,4,no,1963
,,,,0.2,2,6,yes,2007
,,,,0.3,4,4,yes,1994
,,,,0.8,16,7,no,2012
,,,,0.7,6,9,no,1968
,,,,0.7,7,9,yes,2002
,,,,1.1,17,9,yes,1992
,,,,0.6,9,6,no,2006
,,,,0.9,12,6,no,1978
,,,,1,18,5,yes,2002
,,,,0.8,12,6,yes,1977
,,,,0.4,4,7,no,1998
,,,,0.2,2,9,no,1979
,,,,0.3,4,10,yes,2003
,,,,0.1,3,9,yes,1992
,,,,0.4,1,4,no,2020
,,,,0.1,1,5,no,1990
,,,,0.2,1,4,yes,2007
,,,,0.4,2,5,yes,1977
,,,,0.7,12,8,no,2018
,,,,0.6,17,9,no,1961
,,,,1.1,19,8,yes,2014
,,,,0.9,13,8,yes,1968
,,,,0.6,6,4,no,2007
,,,,0.8,6,5,no,1964
,,,,1.1,17,5,yes,2004
,,,,0.9,17,6,yes,1982
,,,,0.1,1,7,no,2008
,,,,0.5,2,8,no,1961
,,,,0.2,4,7,yes,1996
,,,,0.3,2,7,yes,1982
,,,,0.2,3,4,no,2018
,,,,0.4,3,6,no,1994
,,,,0.5,4,4,yes,2004
,,,,0.1,2,6,yes,1971
,,,,0.6,17,7,no,2004
,,,,1.1,9,9,no,1977
,,,,0.6,15,10,yes,2003
,,,,0.7,8,8,yes,1962
,,,,0.6,11,6,no,1997
,,,,0.6,17,6,no,1988
,,,,0.7,13,6,yes,1997
,,,,1.1,20,5,yes,1982
,,,,0.4,1,9,no,1997
,,,,0.1,1,7,no,1970
,,,,0.2,2,10,yes,2018
,,,,0.4,1,8,yes,1989
,,,,0.2,3,5,no,2007
,,,,0.1,3,5,no,1993
,,,,0.4,1,6,yes,2015
,,,,0.1,4,5,yes,1963
,,,,0.9,10,9,no,2017
,,,,0.6,17,9,no,1987
,,,,0.9,20,10,yes,1995
,,,,0.7,5,8,yes,1963
,,,,0.6,14,5,no,2009
,,,,1,18,6,no,1968
,,,,0.7,14,5,yes,2014
,,,,1.1,5,5,yes,1986
,,,,0.4,1,8,no,2009
,,,,0.3,1,9,no,1993
,,,,0.3,2,10,yes,1995
,,,,0.1,3,7,yes,1975
,,,,0.5,2,5,no,2013
,,,,0.4,1,4,no,1990
,,,,0.5,2,6,yes,2013
,,,,0.1,2,6,yes,1980
,,,,0.7,18,10,no,2011
,,,,0.9,11,9,no,1964
,,,,1,9,7,yes,2010
,,,,1,8,7,yes,1994
,,,,0.9,19,6,no,2015
,,,,1,9,6,no,1966
,,,,1.1,10,6,yes,2011
,,,,1,11,5,yes,1977
,,,,0.5,3,8,no,2010
,,,,0.5,3,7,no,1964
,,,,0.1,3,10,yes,2020
,,,,0.3,2,9,yes,1992
,,,,0.5,1,6,no,2009
,,,,0.2,4,5,no,1967
,,,,0.2,4,5,yes,2010
,,,,0.2,3,6,yes,1981
,,,,1.1,15,7,no,2009
,,,,0.6,15,8,no,1979
,,,,1.1,7,9,yes,1996
,,,,1,5,9,yes,1960
,,,,0.8,7,5,no,2019
,,,,1,10,4,no,1976
,,,,0.9,14,6,yes,2001
,,,,0.6,6,6,yes,1972
,,,,0.3,2,8,no,2017
,,,,0.4,2,8,no,1971
,,,,0.1,4,8,yes,2003
,,,,0.4,1,9,yes,1976
,,,,0.3,1,6,no,2014
,,,,0.1,4,6,no,1986
,,,,0.1,2,6,yes,1998
,,,,0.3,2,5,yes,1978
,,,,0.8,19,7,no,2017
,,,,0.7,16,10,no,1989
,,,,1.1,17,7,yes,1995
,,,,1.1,17,8,yes,1970
,,,,0.8,14,6,no,2008
,,,,0.6,12,4,no,1994
,,,,0.8,9,5,yes,2012
,,,,0.7,18,4,yes,1979
,,,,0.5,1,7,no,1996
,,,,0.2,4,7,no,1966
,,,,0.5,1,7,yes,2004
,,,,0.1,1,9,yes,1976
,,,,0.4,1,4,no,2001
,,,,0.5,4,6,no,1969
,,,,0.3,4,5,yes,2020
,,,,0.4,1,6,yes,1984
,,,,1.1,16,10,no,2019
,,,,0.8,5,10,no,1977
,,,,1,17,9,yes,2000
,,,,0.6,5,9,yes,1972
,,,,0.8,16,5,no,2004
,,,,0.7,18,5,no,1971
,,,,1,13,6,yes,1996
,,,,1,19,4,yes,1968
,,,,0.2,4,9,no,2014
,,,,0.5,4,8,no,1970
,,,,0.4,1,9,yes,1996
,,,,0.1,1,7,yes,1961
,,,,0.4,1,4,no,1998
,,,,0.3,3,5,no,1980
,,,,0.4,1,5,yes,2003
,,,,0.4,1,5,yes,1989
,,,,1,19,9,no,1997
,,,,0.8,16,10,no,1967
,,,,0.6,16,7,yes,2012
,,,,1.1,18,8,yes,1969
,,,,0.6,15,4,no,2008
,,,,1.1,14,5,no,1971
,,,,0.8,10,4,yes,1996
,,,,0.9,10,5,yes,1967
,,,,0.5,2,9,no,2001
,,,,0.1,3,7,no,1986
,,,,0.2,3,8,yes,1996
,,,,0.3,3,9,yes,1968
,,,,0.2,1,6,no,1998
,,,,0.4,2,4,no,1976
,,,,0.1,2,6,yes,2003
,,,,0.2,4,4,yes,1969
,,,,0.6,18,7,no,2011
,,,,0.7,12,10,no,1994
,,,,1,16,7,yes,2020
,,,,0.6,16,10,yes,1966
,,,,1,8,4,no,2009
,,,,1.1,16,4,no,1970
,,,,0.8,15,6,yes,2009
,,,,0.8,13,4,yes,1972
,,,,0.4,1,8,no,1996
,,,,0.2,3,10,no,1990
,,,,0.1,3,10,yes,1999
,,,,0.4,4,9,yes,1991
,,,,0.3,2,4,no,2006
,,,,0.5,4,5,no,1984
,,,,0.2,3,5,yes,1999
,,,,0.5,2,5,yes,1985
,,,,0.9,10,10,no,1997
,,,,0.6,12,8,no,1962
,,,,0.9,11,7,yes,2014
,,,,0.9,11,9,yes,1976
,,,,0.7,14,6,no,1996
,,,,0.9,18,4,no,1969
,,,,1,16,5,yes,2000
,,,,0.6,9,6,yes,1990
,,,,0.3,2,10,no,2012
,,,,0.5,1,9,no,1978
,,,,0.2,1,8,yes,2013
,,,,0.5,1,9,yes,1971
,,,,0.1,4,5,no,2005
,,,,0.5,1,6,no,1963
,,,,0.5,4,6,yes,2001
,,,,0.1,4,5,yes,1979
,,,,0.7,12,10,no,2006
,,,,1.1,7,10,no,1978
,,,,0.6,12,10,yes,2010
,,,,1,16,7,yes,1974
,,,,0.6,13,5,no,2009
,,,,0.6,5,6,no,1988
,,,,1,18,4,yes,2003
,,,,0.7,7,4,yes,1981
,,,,0.5,4,10,no,2017
,,,,0.4,1,10,no,1987
,,,,0.4,1,10,yes,2005
,,,,0.4,4,7,yes,1981
,,,,0.1,2,4,no,2003
,,,,0.4,1,5,no,1984
,,,,0.3,2,4,yes,1995
,,,,0.4,3,6,yes,1969
,,,,1,15,10,yes,2013
,,,,0.8,8,10,yes,1970
,,,,1,13,10,yes,1971
,,,,1,8,10,yes,1994
,,,,0.7,13,7,yes,2004
,,,,0.7,6,8,yes,1986
,,,,0.7,19,10,yes,1983
,,,,0.7,11,9,yes,1982
,,,,0.7,8,10,yes,1998
,,,,0.7,6,7,yes,1963
,,,,0.6,15,8,yes,1970
,,,,0.6,14,8,yes,1988
,,,,1.1,20,7,yes,1998
,,,,1.1,6,9,yes,1989
,,,,1,11,10,yes,1981
,,,,0.9,14,8,yes,1972
,,,,0.9,9,10,yes,2005
,,,,0.7,8,7,yes,1970
,,,,0.6,20,8,yes,1966
,,,,0.8,12,9,yes,1985
,,,,0.9,8,8,yes,2001
,,,,1,18,9,yes,1981
,,,,0.9,16,9,yes,1973
,,,,0.7,13,10,yes,1990
,,,,0.8,7,10,yes,2016
,,,,0.7,19,8,yes,1986
,,,,0.9,10,8,yes,1988
,,,,0.8,15,10,yes,1990
,,,,0.6,11,10,yes,2003
,,,,1.1,20,9,yes,1976
,,,,0.9,16,8,yes,1974
,,,,1,18,10,yes,1979
,,,,0.9,7,8,yes,2004
,,,,0.9,10,7,yes,1986
,,,,0.7,20,9,yes,1987
,,,,0.7,18,9,yes,1978
,,,,1.1,16,10,yes,2013
,,,,0.8,10,10,yes,1964
,,,,1.1,9,7,yes,1961
,,,,1.1,15,8,yes,1987
,,,,1.1,15,10,yes,2008
,,,,0.6,8,8,yes,1992
,,,,0.7,18,8,yes,1970
,,,,0.8,20,7,yes,1961
,,,,0.8,17,8,yes,2013
,,,,0.9,9,9,yes,1974
,,,,0.6,6,8,yes,1976
,,,,0.9,18,8,yes,1977
,,,,1,15,8,yes,2013
,,,,1.1,7,7,yes,1982
,,,,1.1,7,9,yes,1969
,,,,0.8,16,9,yes,1972
,,,,0.8,14,7,yes,1998
,,,,0.7,15,10,yes,1964
,,,,0.7,12,8,yes,1984
,,,,0.6,17,10,yes,1971
,,,,0.9,6,9,yes,2012
,,,,0.8,18,9,yes,1990
,,,,1.1,16,7,yes,1974
,,,,0.6,14,9,yes,1975
,,,,0.7,5,9,yes,1998
,,,,0.7,11,10,yes,1980
,,,,0.6,6,7,yes,1983
,,,,0.9,11,7,yes,1984
,,,,0.8,19,7,yes,2016
,,,,0.7,20,10,yes,1977
,,,,1.1,18,10,yes,1962
,,,,0.6,8,8,yes,1964
,,,,0.7,6,10,yes,2017
,,,,0.7,16,8,yes,1981
,,,,0.8,11,10,yes,1964
,,,,0.8,14,10,yes,1990
,,,,1,9,7,yes,1995
,,,,0.7,14,9,yes,1963
,,,,1,11,7,yes,1994
,,,,0.9,8,8,yes,1990
,,,,0.7,8,10,yes,2009
,,,,0.8,19,8,yes,1978
,,,,0.9,12,7,yes,1986
,,,,0.7,17,7,yes,1987
,,,,0.8,9,8,yes,2006
,,,,1,14,9,yes,1994
,,,,1.1,18,9,yes,1966
,,,,1.1,19,10,yes,1971
,,,,0.9,20,8,yes,2008
,,,,0.9,16,9,yes,1971
,,,,1,11,8,yes,1994
,,,,1,9,9,yes,1966
,,,,0.9,13,7,yes,2018
,,,,1,5,9,yes,1966
,,,,1.1,12,10,yes,1961
,,,,0.6,14,7,yes,1991
,,,,0.6,9,7,yes,2014
,,,,0.6,17,8,yes,1985
,,,,0.9,8,10,yes,1966
,,,,1.1,12,7,yes,1970
,,,,0.9,8,8,yes,2000
,,,,0.7,20,9,yes,1968
,,,,1,13,9,yes,1985
,,,,1,10,9,yes,1992
,,,,0.7,11,9,yes,2017
,,,,0.9,18,7,yes,1974
,,,,0.6,11,9,yes,1969
,,,,1.1,18,9,yes,1989
,,,,0.8,14,7,yes,2006
,,,,1.1,19,7,yes,1989
,,,,0.9,8,8,yes,1990
,,,,0.7,15,10,yes,1968
,,,,0.7,6,10,yes,2001
,,,,1,20,8,yes,1965
,,,,0.6,15,9,yes,1990
,,,,0.6,19,8,yes,1986
,,,,0.7,8,9,yes,2019
,,,,0.9,5,8,yes,1988
,,,,0.9,6,7,yes,1963
,,,,0.8,20,10,yes,1991
,,,,1,12,10,yes,2011
,,,,0.6,6,9,yes,1982
,,,,0.7,7,9,yes,1982
,,,,1.1,12,8,yes,1972
,,,,0.9,7,7,yes,2012
,,,,1.1,8,7,yes,1984
,,,,0.7,12,10,yes,1982
,,,,0.9,13,8,yes,1965
,,,,1,6,7,yes,2002
,,,,1.1,10,8,yes,1984
,,,,1,6,8,yes,1982
,,,,1,17,9,yes,1961
,,,,1.1,8,5,yes,1971
,,,,1.1,17,5,yes,1965
,,,,0.8,14,5,yes,1978
,,,,1.1,17,5,yes,1965
,,,,0.8,9,6,yes,1989
,,,,0.7,10,5,yes,1979
,,,,0.7,16,5,yes,1961
,,,,1.1,8,4,yes,1982
,,,,0.8,14,5,yes,1981
,,,,1.1,6,5,yes,1960
,,,,0.7,7,5,yes,1983
,,,,0.9,7,5,yes,1969
,,,,0.8,17,6,yes,1983
,,,,1.1,12,5,yes,1989
,,,,0.6,14,4,yes,1982
,,,,1,19,6,yes,1966
,,,,1.1,5,4,yes,1985
,,,,0.9,9,5,yes,1965
,,,,0.9,19,6,yes,1960
,,,,1,10,5,yes,1963
,,,,1,16,6,yes,1971
,,,,1,16,4,yes,1971
,,,,0.8,20,4,yes,1965
,,,,0.7,6,5,yes,1981
,,,,0.6,9,6,yes,1963
